Dane z pliku:
liczby.txt
Wielko?? instacji:
10,20,50,100,500,1000,2000,5000,10000,50000,100000,200000,400000
Czas:
0.0017,0.0035,0.0096,0.0155,0.0969,0.2504,0.4514,1.3367,3.0095,20.6927,53.6509,82.4919,180.805
Liczba powtórzen: 
1
